1,The French Laundry,Yountville,USA
2,El Bulli,Roses,Spain
3,Le Louis XV,Monaco,Monaco
4,Jean Georges,New York,USA
5,Restaurant Gordon Ramsay,London,UK
6,Arpège,Paris,France
7,Comme Chez Soi,Brussels,Belgium
8,Rockpool,Sydney,Australia
9,L'Ambroisie,Paris,France
10,Gramercy Tavern,New York,USA
11,Michel Bras,Laguiole, France
12,Chez Panisse,Berkeley,USA
13,Pierre Gagnaire,Paris,France
14,The Merchant House,London,UK
15,Bocca,Tallinn,Estonia
16,Sukiyabashi Jiro,Tokyo,Japan
17,Felix,Hong Kong,China
18,L'Auberge de l'Ill,Illhaeusern,France
19,Gidleigh Park,Changford,UK
20,Bukhara,New Delhi,India
21,Paul Boscoe,Collonges-au-Mont-d'Or,France
22,De Karmeliet,Bruges,Belgium
23,Al Mahara,Dubai, UAE
24,Vincent Guerithault on Camelback,Phoenix,USA
25,Thorton's,Dublin,Ireland
26,Nobu,London,UK
27,Operakällaren,Stockholm,Sweden
28,Eigensinn Farm,Singhampton,Canada
29,Le Manoir aux Quat'Saison,Oxford,UK
30,Guy Savoy,Paris,France
31,The Ivy,London,UK
32,The Three Chimneys,Isle of Skye,UK
33,Petrus,London,UK
34,Daniel,New York,USA
35,Dal Pescatore,Canneto sull'Oglio,Italy
36,Bagatelle,Oslo, Norway
37,Tetsuya's,Sydney,Australia
38,Quattro Passi,Massa Lubrense,Italy
39,Charlie Trotter's,Chicago,USA
40,Arzak,San Sebastian,Spain
41,Flower Drum,Melbourne,Australia
42,The Cliff,Durants,Barbados
43,The Square,London,UK
44,Enoteca Pinchiorri,Florence,Italy
45,1884,Godoy Cruz,Argentina
46,Checchino Dal 1887,Rome,Italy
47,River Café,London,UK
48,New York Grill,Tokyo,Japan
49,St John,London,UK
50,Carnivore,Nairobi,Kenya
